sku_id,category,subcategory,brand,product_name,size_value,size_unit,variant_id,retailer,product_url,currency
HAIR-007,Haircare,Shampoo,Garnier,Ultra Doux Argan & Camélia Shampoo,400,ml,,amazon_fr,https://www.amazon.fr/-/en/Garnier-Nourishing-Shampoo-Enriched-Camellia/dp/B0FH73KXG1/ref=sr_1_1?crid=110KYJD01KL8J&dib=eyJ2IjoiMSJ9.FR26_NLurjcwc-_RDACnqtkzd3iq1TUyKcci0rH9pwk5plDdv0D68qGlIG_qHb_4A7MOGObKRqdMN-qDPt1sZFRaKB-mTjtHCPV3TUmt5vdJLtmvYg8ijhfrtEvJG3obY84fmnPVCkW0AkOLhhqXbHrx6kMExADIwfjBUPf1NvqtHwpZ84RUHWBEmnsh92Q2Vn7dwbvzi_je_qeNttAFyOjIndCcMacK3RJmwsDUEA22DRpNxbhCcUmJc7S5Nx3BL-qm0bONcCwbHddhfL5iskb-fCrLr0PyJjnAtby3qiY.P9uaITTEtrY3fuomAYwa_G70n88XlnsE-2PxIuhPyAc&dib_tag=se&keywords=Ultra+Doux+Argan+%26+Cam%C3%83%C2%A9lia+Shampoo&qid=1755458947&sprefix=ultra+doux+argan+%26+cam%C3%A3+lia+shampoo%2Caps%2C79&sr=8-1,EUR
HAIR-008,Haircare,Shampoo,Lâ€™OrÃ©al Paris,Elseve Dream Long Shampoo,300,ml,,carrefour_fr,https://www.carrefour.fr/p/shampooing-reconstructeur-dream-long-elseve-l-oreal-paris-3600524103927,EUR
HAIR-008,Haircare,Shampoo,L'Oréal Paris,Elseve Dream Long Shampoo,300,ml,,amazon_fr,https://www.amazon.fr/-/en/LOR%C3%89AL-PARIS-Reconstructive-Enriched-Vegetable/dp/B0FH72KXPJ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.pf0uENdPRzy7zCIoEIxR76kRo4NtIXtxKCIz3f8NwicW5Niuby3SQmqLQHvQd4TQ5KzX75NKZp_BYWEMAbS-DP534-pnn6XuA-TuM6AZbPmfa4r-ODgWf9HMfTvkpAcM1GwT_zy5-M3pe_E4WcsT9OEpLz2xn4Ne291z3qZz89nIQn7SvkAVgkUJPS_S2fx30pogLAuUEMst7MctTsHFUQ5sj70G8Gt5mmq9pBrkdULx7VpPNMTGa43ParH8mrur5S4G-SJdRVout4HIFKzAU3DVk1bCIXrtO_GDDAZIIKw.KNNhqPdBwI14KwBPn2rD6HrzQBnjm20oFBztLxMRSbU&dib_tag=se&keywords=Elseve%2BDream%2BLong%2BShampoo&qid=1755459072&sr=8-2&th=1,EUR
HAIR-009,Haircare,Shampoo,Head & Shoulders,Classic Clean Shampoo,300,ml,,carrefour_fr,https://www.carrefour.fr/p/shampooing-classic-clean-head-shoulders-5410076969530,EUR
HAIR-009,Haircare,Shampoo,Head & Shoulders,Classic Clean Shampoo,800,ml,,amazon_fr,https://www.amazon.fr/-/en/Shoulders-Anti-Dandruff-Dispenser-Protection-Clinically/dp/B0CR1LQJ3C/ref=sr_1_1?crid=KH3SCG4TTSU5&dib=eyJ2IjoiMSJ9.X6ZdkBMkqdEg2wkpcYFUy29ctTmVKj9dENHZfsEwl3Da7u5RApD1aEL3w9iWGal4j8sFV-Oz5fydTcOCaH1PImOEiPKG_tfz0fWC7rP4EGBx6mg0FeSJm62EqI16vQv1Ih1qubOttxBQsApJOVxORH8TkeosRT7EpGpFQvT0oCY4w-szB7kxyuWGJviswHsIZu7lkrLJgxGh81m-2QCwe1SCPIMC1hTKfEFx-piexO1w9lL2JM22qivfsitywBXAhIElP3eHZs5XJ5cfe1ETcaRXuJYXmIdW0MMnBF3qaAk.Xp63xu8eD_PZ0VjMmN4PiQo3rfUIv1fl5IbHUd0j0Gw&dib_tag=se&keywords=Classic+Clean+Shampoo&qid=1755459211&sprefix=classic+clean+shampoo%2Caps%2C96&sr=8-1,EUR
HAIR-010,Haircare,Shampoo,Pantene,Repair & Protect Shampoo,250,ml,,carrefour_fr,https://www.carrefour.fr/p/shampooing-repair-protect-pantene-4084500686727,EUR
HAIR-010,Haircare,Shampoo,Pantene,Repair & Protect Shampoo,250,ml,,amazon_fr,https://www.amazon.fr/-/en/Pantene-Protect-Shampoo-Protects-Silicones/dp/B0DX7JYCM7/ref=sr_1_2?crid=ABGEMFO99EXC&dib=eyJ2IjoiMSJ9.pjnWwQoMxTFz5ZNPM0FSJL0RtOmhCIPsLxh9RwU8EeAa7lqmL-sppaESFYDnWe7qniJPygSl1tCoe1Y6HLbxiICCvHb-or0Xga3uVQJHCKzNOxwoMDp70qsLG09pKzYFBz_l3jSymNE0G5-xLiKBZoGo7x5IjTQihe9FAb32yR8v_FZra9z0a-SrGl4dYmb5PC6Lhz9EDNImXt-sXQnDaeVciLALgFiPTRSst87MhL4ciZF6jTreZh8biumyRa6G6KO4og3S2krx4cAWT5GiqveE45D06zdz2WXcryMQ5HI.SRxfEQ6qpZwiUVJhg6lGogbDsoxqq1tg03_lDJWITJ0&dib_tag=se&keywords=Pantene%2BRepair%2B%26%2BProtect%2BShampoo&qid=1755459946&s=beauty&sprefix=pantene%2Brepair%2B%26%2Bprotect%2Bshampoo%2Cbeauty%2C95&sr=1-2&th=1,EUR
SKIN-001,Skincare,Serum,The Ordinary,Niacinamide 10% + Zinc 1% - Sérum Anti-Imperfections,30,ml,,sephora_fr,https://www.sephora.fr/p/niacinamide-10%25-zinc-1%25---serum-anti-imperfections-P3921091.html,EUR
SKIN-001,Skincare,Serum,The Ordinary,Niacinamide 10% + Zinc 1% - Sérum Anti-Imperfections,30,ml,,amazon_fr,https://www.amazon.fr/dp/B0F534GN8V,EUR
SKIN-002,Skincare,Moisturizer,Clinique,Dramatically Different Moisturizing Gel,50,ml,,sephora_fr,https://www.sephora.fr/p/dramatically-different-mosturizing-lotion---gel-hydratant-bb-tellement-different-482183.html,EUR
SKIN-002,Skincare,Moisturizer,Clinique,Dramatically Different Moisturizing Gel,125,ml,,amazon_fr,https://www.amazon.fr/dp/B00BVO9NMK,EUR
SKIN-003,Skincare,Serum,Estée Lauder,Advanced Night Repair Serum,30,ml,,sephora_fr,https://www.sephora.fr/p/advanced-night-repair---serum-complexe-regeneration-intense-P10010128.html,EUR
SKIN-003,Skincare,Serum,Estée Lauder,Advanced Night Repair Serum,50,ml,,amazon_fr,https://www.amazon.fr/dp/B08DHQCGH9,EUR
SKIN-004,Skincare,Cleanser,La Roche-Posay,Effaclar Gel Moussant Purifiant,400,ml,,carrefour_fr,https://www.carrefour.fr/p/gel-effaclar-gel-moussant-purifiant-la-roche-posay-3337875876407,EUR
SKIN-004,Skincare,Cleanser,La Roche-Posay,Effaclar Gel Moussant Purifiant,400,ml,,amazon_fr,https://www.amazon.fr/dp/B003JSEGNC,EUR
SKIN-005,Skincare,Cleanser,CeraVe,Hydrating Cleanser (CrÃ¨me Lavante),236,ml,,carrefour_fr,https://www.carrefour.fr/p/gel-nettoyant-visage-moussant-cerave-3337875597197,EUR
SKIN-005,Skincare,Cleanser,CeraVe,Hydrating Cleanser (CrÃ¨me Lavante),236,ml,,amazon_fr,https://www.amazon.fr/dp/B07C5R51Q9,EUR
SKIN-006,Skincare,Moisturizer,Nivea,CrÃ¨me (Blue Tin),150,ml,,carrefour_fr,https://www.carrefour.fr/p/creme-hydratante-nourrissante-visage-corps-mains-nivea-4005808925124,EUR
SKIN-006,Skincare,Moisturizer,Nivea,CrÃ¨me (Blue Tin),150,ml,,amazon_fr,https://www.amazon.fr/dp/B007IDWHRQ,EUR
SKIN-007,Skincare,Serum,Vichy,MinÃ©ral 89 Booster,50,ml,,carrefour_fr,https://www.carrefour.fr/p/serum-visage-toutes-peaux-fortifiant-hydratant-mineral-89-vichy-laboratoires-3337875543248,EUR
SKIN-007,Skincare,Serum,Vichy,MinÃ©ral 89 Booster,50,ml,,amazon_fr,https://www.amazon.fr/dp/B075DB6276,EUR
SKIN-008,Skincare,Micellar Water,Bioderma,Sensibio (CrÃ©aline) H2O,500,ml,,carrefour_fr,https://www.carrefour.fr/p/eau-micellaire-crealine-h2o-peaux-sensibles-bioderma-3701129805213,EUR
SKIN-008,Skincare,Micellar Water,Bioderma,Sensibio (CrÃ©aline) H2O,500,ml,,amazon_fr,https://www.amazon.fr/dp/B00AVE22XS,EUR
SKIN-009,Skincare,Moisturizer,Lâ€™OrÃ©al Paris,Revitalift Day Cream,50,ml,,carrefour_fr,https://www.carrefour.fr/p/creme-de-jour-revitalift-l-oreal-paris-3600524038588,EUR
SKIN-009,Skincare,Moisturizer,L'Oréal Paris,Revitalift Day Cream,50,ml,,amazon_fr,https://www.amazon.fr/LOr%C3%A9al-Paris-Moisturizing-Anti-Wrinkle-Extra-Firming/dp/B01M67N5N3/ref=sr_1_1_sspa?crid=1ZSJWZZO1SNQX&dib=eyJ2IjoiMSJ9.pTErb0ayj4IQU276GvPsKXEarTckc5hbNRvkI88UlDL00gEjB0kgzOGgrButw904YXZSo7Z6uyjys224f71koX_MwVaYXMGnNWHvBr1-esJ7ZuiwjM7Ikq7E-dzxE4RgxzQgaKRpW6dbdJAwdVE3cucbdnJ-e9QLmhisETk8-42DMyGLHUApbkRdzypOPwT7EIoC9bAsXnexlm_KBcJJPQ2ftGAka16j1Fw9Pi-3E2XMVZ5tAGLxI_QhxdZFi7YsK8397sqbVYg-0npWS7to_DlznPlYr3lV3xk13YOrbDA.rQfmPK5mNrKT_HjzCqyTgwpVw_7ASN9JYpN3OtNpNd0&dib_tag=se&keywords=Revitalift%2BDay%2BCream&qid=1755459868&s=beauty&sprefix=revitalift%2Bday%2Bcream%2Cbeauty%2C82&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,EUR
SKIN-010,Skincare,Micellar Water,Garnier,Eau Micellaire Peaux Sensibles,400,ml,,carrefour_fr,https://www.carrefour.fr/p/eau-micellaire-peaux-sensibles-garnier-3600540744046,EUR
MAKE-001,Makeup,Mascara,Too Faced,Better Than Sex Mascara,8,ml,Black,sephora_fr,https://www.sephora.fr/p/better-than-sex-mascara-P1501003.html,EUR
MAKE-001,Makeup,Mascara,Too Faced,Better Than Sex Mascara,8,ml,Black,amazon_fr,https://www.amazon.fr/dp/B00P0Q0T28,EUR
MAKE-002,Makeup,Mascara,Benefit,Roller Lash,8.5,ml,Black,sephora_fr,https://www.sephora.fr/p/roller-lash-mascara-P2101001.html,EUR
MAKE-003,Makeup,Concealer,NARS,Radiant Creamy Concealer,6,ml,Vanilla,sephora_fr,https://www.sephora.fr/p/radiant-creamy-concealer---anti-cernes-eclat-P1281016.html,EUR
MAKE-003,Makeup,Concealer,NARS,Radiant Creamy Concealer,6,ml,Vanilla,amazon_fr,https://www.amazon.fr/dp/B00BM1WKT0,EUR
MAKE-004,Makeup,Liquid Lip,Huda Beauty,Liquid Matte,4.2,ml,Bombshell,sephora_fr,https://www.sephora.fr/p/liquid-matte-rouge-a-levres-mat-longue-tenue-ultra-confort-et-sans-transfert-P10023807.html,EUR
MAKE-004,Makeup,Liquid Lip,Huda Beauty,Liquid Matte,4.2,ml,Bombshell,amazon_fr,https://www.amazon.fr/dp/B0DL6PBYMJ,EUR
MAKE-005,Makeup,Foundation,Maybelline,Fit Me Matte + Poreless Foundation,30,ml,120 Classic Ivory,carrefour_fr,https://www.carrefour.fr/p/fond-de-teint-liquide-matifiant-teinte-beige-rose-120-fit-me-maybelline-new-york-3600531324520,EUR
MAKE-005,Makeup,Foundation,Maybelline,Fit Me Matte + Poreless Foundation,30,ml,120 Classic Ivory,amazon_fr,https://www.amazon.fr/dp/B074MB778R,EUR
MAKE-006,Makeup,Foundation,Lâ€™OrÃ©al Paris,Infaillible Fresh Wear Foundation,30,ml,140 Golden Beige,carrefour_fr,https://www.carrefour.fr/p/fond-de-teint-liquide-longue-tenue-teinte-beige-dore-140-infaillible-l-oreal-paris-3600523614493,EUR
MAKE-006,Makeup,Foundation,L'Oréal Paris,Infaillible Fresh Wear Foundation,30,ml,140 Golden Beige,amazon_fr,https://www.amazon.fr/dp/B00HWR50JK,EUR
MAKE-007,Makeup,Liquid Lip,Bourjois,Rouge Edition Velvet,7.7,ml,07 Nude-ist,carrefour_fr,https://www.carrefour.fr/p/rouge-a-levres-007-edition-velvet-nude-ist-bourjois-3052503260716,EUR
MAKE-007,Makeup,Liquid Lip,Bourjois,Rouge Edition Velvet,7.7,ml,07 Nude-ist,amazon_fr,https://www.amazon.fr/dp/B00J5ME5N2,EUR
MAKE-008,Makeup,Mascara,Lâ€™OrÃ©al Paris,Lash Paradise Mascara,6.4,ml,Black,carrefour_fr,https://www.carrefour.fr/p/mascara-volume-noir-paradise-voluminous-01-l-oreal-paris-3600523503285,EUR
MAKE-008,Makeup,Mascara,L'Oréal Paris,Lash Paradise Mascara,6.4,ml,Black,amazon_fr,https://www.amazon.fr/dp/B06XDQ84NF,EUR
MAKE-009,Makeup,Mascara,Maybelline,Lash Sensational Sky High Mascara,7.2,ml,Very Black,carrefour_fr,https://www.carrefour.fr/p/mascara-volume-longueur-noir-intense-sky-high-sensationnel-maybelline-new-york-0000030166967,EUR
MAKE-009,Makeup,Mascara,Maybelline,Lash Sensational Sky High Mascara,7.2,ml,Very Black,amazon_fr,https://www.amazon.fr/dp/B08WR5CPNB,EUR
MAKE-010,Makeup,Blush,NARS,Blush,4.8,g,Orgasm,sephora_fr,https://www.sephora.fr/p/talc-free-blush---blush-P10058831.html,EUR
MAKE-010,Makeup,Blush,NARS,Blush,4.8,g,Orgasm,amazon_fr,https://www.amazon.fr/dp/B000PVPEFU,EUR
